Date,Open,High,Low,Close,Adj Close,Volume
2020-03-18,8.320000,8.320000,8.320000,8.320000,8.320000,0
2020-03-19,7.040000,7.620000,6.916000,7.500000,7.500000,12600
2020-03-20,8.000000,8.000000,6.730000,6.730000,6.730000,13400
2020-03-23,6.760000,7.230000,6.410000,6.930000,6.930000,5700
2020-03-24,7.000000,7.000000,7.000000,7.000000,7.000000,11300
2020-03-25,6.840000,7.493000,6.290000,6.294000,6.294000,68700
2020-03-26,6.730000,7.180000,6.360000,6.730000,6.730000,24600
2020-03-27,7.120000,7.120000,6.525000,6.750000,6.750000,26200
2020-03-30,7.030000,8.473000,6.740000,8.280000,8.280000,11600
2020-03-31,8.250000,8.250000,8.000000,8.000000,8.000000,1600
2020-04-01,7.700000,7.750000,6.885000,7.100000,7.100000,11600
2020-04-02,7.080000,7.350000,7.080000,7.350000,7.350000,800
2020-04-03,6.510000,6.940000,6.500000,6.750000,6.750000,5000
2020-04-06,7.000000,7.200000,5.500000,6.000000,6.000000,198200
2020-04-07,5.970000,6.490000,5.800000,6.000000,6.000000,10100
2020-04-08,6.250000,6.270000,5.710000,6.000000,6.000000,19200
2020-04-09,6.140000,6.297000,5.750000,5.890000,5.890000,46000
2020-04-13,5.480000,6.500000,5.480000,6.095000,6.095000,9700
2020-04-14,6.150000,6.490000,6.100000,6.100000,6.100000,8700
2020-04-15,6.000000,6.310000,6.000000,6.000000,6.000000,23000
2020-04-16,6.000000,6.000000,5.980000,6.000000,6.000000,15900
2020-04-17,6.000000,6.600000,5.740000,6.600000,6.600000,13000
2020-04-20,6.040000,7.620000,6.000000,6.665000,6.665000,19500
2020-04-21,6.435000,6.435000,5.900000,6.000000,6.000000,26200
2020-04-22,5.820000,6.680000,5.800000,6.090000,6.090000,25300
2020-04-23,6.235000,6.880000,6.120000,6.880000,6.880000,19300
2020-04-24,6.330000,6.910000,6.330000,6.850000,6.850000,19000
2020-04-27,7.000000,7.690000,6.980000,7.230000,7.230000,17400
2020-04-28,7.525000,7.525000,7.100000,7.390000,7.390000,3900
2020-04-29,7.020000,7.750000,7.020000,7.750000,7.750000,9900
2020-04-30,7.740000,8.230000,6.210000,6.650000,6.650000,27600
2020-05-01,6.990000,6.990000,6.520000,6.880000,6.880000,9800
2020-05-04,7.460000,7.460000,5.860000,6.000000,6.000000,26300
2020-05-05,6.405000,7.740000,6.400000,7.740000,7.740000,9000
2020-05-06,7.600000,7.600000,6.680000,7.000000,7.000000,2500
2020-05-07,6.520000,7.500000,6.300000,7.400000,7.400000,5900
2020-05-08,7.400000,7.490000,7.400000,7.400000,7.400000,6900
2020-05-11,7.000000,7.000000,6.360000,6.610000,6.610000,1900
2020-05-12,6.470000,6.620000,6.205000,6.620000,6.620000,51200
2020-05-13,6.370000,6.950000,6.220000,6.880000,6.880000,10900
2020-05-14,7.030000,7.030000,6.110000,6.340000,6.340000,3000
2020-05-15,6.800000,6.860000,6.660000,6.660000,6.660000,900
2020-05-18,6.800000,6.800000,6.010000,6.130000,6.130000,20700
2020-05-19,6.130000,6.380000,5.820000,6.070000,6.070000,27200
2020-05-20,6.000000,6.000000,5.650000,5.750000,5.750000,85200
2020-05-21,5.960000,6.500000,5.750000,6.050000,6.050000,14100
2020-05-22,5.850000,6.355000,5.750000,5.930000,5.930000,41200
2020-05-26,6.050000,6.150000,5.750000,5.900000,5.900000,3500
2020-05-27,5.900000,6.000000,5.650000,5.650000,5.650000,15700
2020-05-28,5.740000,5.875000,5.490000,5.500000,5.500000,797100
2020-05-29,5.850000,6.090000,5.700000,5.890000,5.890000,13000
2020-06-01,5.630000,6.090000,5.570000,5.750000,5.750000,26800
2020-06-02,5.750000,6.095000,5.620000,5.640000,5.640000,37500
2020-06-03,5.700000,6.070000,5.600000,5.950000,5.950000,147700
2020-06-04,5.980000,6.100000,5.850000,5.900000,5.900000,108100
2020-06-05,6.000000,6.140000,5.920000,5.960000,5.960000,38900
2020-06-08,6.075000,6.161000,5.950000,5.980000,5.980000,52300
2020-06-09,5.967000,6.110000,5.950000,5.980000,5.980000,67500
2020-06-10,5.990000,7.110000,5.990000,6.370000,6.370000,86400
2020-06-11,6.630000,6.970000,6.320000,6.700000,6.700000,30200
2020-06-12,6.710000,7.000000,6.540000,6.950000,6.950000,20200
2020-06-15,6.817000,6.817000,6.260000,6.570000,6.570000,23800
2020-06-16,6.570000,6.860000,6.550000,6.680000,6.680000,5900
2020-06-17,6.700000,6.890000,6.370000,6.890000,6.890000,40700
2020-06-18,6.700000,6.868000,6.700000,6.840000,6.840000,1500
2020-06-19,6.800000,7.000000,6.800000,7.000000,7.000000,5600
2020-06-22,6.980000,7.000000,6.650000,6.980000,6.980000,2500
2020-06-23,6.920000,6.985000,6.500000,6.800000,6.800000,3000
2020-06-24,6.990000,6.990000,6.700000,6.720000,6.720000,1600
2020-06-25,6.470000,6.990000,6.470000,6.480000,6.480000,700
2020-06-26,6.400000,6.650000,6.160000,6.250000,6.250000,22600
2020-06-29,6.600000,6.890000,6.425000,6.470000,6.470000,26400
2020-06-30,6.840000,6.990000,6.430000,6.900000,6.900000,43700
2020-07-01,7.000000,7.000000,6.600000,6.650000,6.650000,6800
2020-07-02,6.550000,6.600000,6.250000,6.250000,6.250000,12500
2020-07-06,6.535000,6.920000,6.450000,6.450000,6.450000,5000
2020-07-07,6.240000,6.470000,6.240000,6.300000,6.300000,700
2020-07-08,6.350000,6.410000,6.350000,6.350000,6.350000,16700
2020-07-09,6.270000,6.270000,6.110000,6.260000,6.260000,9800
2020-07-10,6.220000,6.220000,6.220000,6.220000,6.220000,600
